,publisher,publisher_standard,count,type,comment
266,BMG Interactive Entertainment,,1,,
267,Zynga,,1,,
268,Team2Bit,,1,,
269,Exato Game Studios,,1,,
270,Mossmouth,,1,,
271,Chucklefish,,1,,
272,Eidos Interactive,,1,,
273,Green Lava Studios,,1,,
274,Talawa Games,,1,,
275,Jason Rohrer,,1,,
276,Demon Wagon Studios,,1,,
277,Nival Interactive,,1,,
278,Team 17,,1,,
279,Micro Macro Games,,1,,
280,Dan Walters,,1,,
281,Black Forest Games,,1,,
282,Carlos Coronado,,1,,
283,Failbetter Games,,1,,
284,Harebrained Schemes LLC,,1,,
285,RageSquid,,1,,
286,Revolution Software,,1,,
287,Creability,,1,,
288,Snowbird Games,,1,,
289,CI Games,,1,,
290,Strategy First,,1,,
291,indiePub,,1,,
292,Born Ready Games,,1,,
293,Wyrmbyte,,1,,
294,Syscom,,1,,
295,Owlchemy Labs,,1,,
296,Milkstone Studios,,1,,
297,Ice-pick Lodge,,1,,
298,Krillbite Studio,,1,,
299,Ivy Games LLC,,1,,
300,Suspicious Developments,,1,,
301,Slitherine,Slitherine,1,mid,
302,Fourlights,,1,,
303,HB Studios Multimedia,,1,,
304,Spike,,1,,
305,TransGaming Inc.,,1,,
306,Bossa Studios,,1,,
307,Crunching Koalas,,1,,
308,Pandora Studios,,1,,
309,Uber Entertainment,,1,,
310,Edge of Reality,,1,,
311,Intergrow,,1,,
312,Rainy Frog,,1,,
313,Trion Worlds,,1,,
314,XPEC Entertainment Inc.,,1,,
315,Square EA,,1,,
316,Parker Bros.,,1,,
317,Team Ninja,,1,,
318,BBC Worldwide,,1,,
319,bleem!,,1,,
320,IndieIrritum,,1,,
321,Phoenix Online Publishing,,1,,
322,"NEXON Co., Ltd.",,1,,
323,Fishcow Studio,,1,,
324,Mad Catz,,1,,
325,GamersGate,,1,,
326,Screen 7,,1,,
327,Dark Artz Entertainment,,1,,
328,Red 5 Studios,,1,,
329,Unknown Worlds Entertainment,,1,,
330,Revolution,,1,,
331,Overland,,1,,
332,Cellar Door Games,,1,,
333,E-One Studio,,1,,
334,Awesome Games Studio,,1,,
335,Unity Games,,1,,
336,Subset Games,,1,,
337,Tom Francis,,1,,
338,Wastelands Interactive,,1,,
339,Ackkstudios,,1,,
340,Nowhere Studios,,1,,
341,Tasharen Entertainment,,1,,
342,Funcom,,1,,
343,Polytron Corp.,,1,,
344,Ludochip,,1,,
345,Lexis Numerique,,1,,
346,Hangame,,1,,
347,Flying Wild Hog,,1,,
348,roll7,,1,,
349,Niffler Ltd,,1,,
350,"Encore Software, Inc.",,1,,
351,Gaijin Entertainment,,1,,
352,Forever Entertainment S.A.,,1,,
353,The Astronauts,,1,,
354,Shining Rock Software,,1,,
355,BITBOX S.L.,,1,,
356,Orthogonal Games,,1,,
357,The Fullbright Company,,1,,
358,AwesomeGamesStudio,,1,,
359,Shorebound Studios,,1,,
360,Tribute Games Inc.,,1,,
361,Vertex Pop,,1,,
362,Rovio Mobile,,1,,
363,Maxistentialism,,1,,
364,E-Line Media,,1,,
365,Xaviant Games,,1,,
366,killjoygames,,1,,
367,Klei Entertainment,,1,,
368,Activision Blizzard,Activision Blizzard,1,major,
369,JoWooD Entertainment AG,,1,,
370,Fatshark AB,,1,,
371,Flyhigh Works,,1,,
372,ak tronic,,1,,
373,Black Inc.,,1,,
